DateID,Date,Year,Quarter,Month,MonthName,Week,DayOfWeek,IsWeekend,FiscalYear,FiscalQuarter
20200604,2020-06-04,2020,Q2,6,June,23,Thursday,False,2020,FQ1
20200605,2020-06-05,2020,Q2,6,June,23,Friday,False,2020,FQ1
20200606,2020-06-06,2020,Q2,6,June,23,Saturday,True,2020,FQ1
20200607,2020-06-07,2020,Q2,6,June,23,Sunday,True,2020,FQ1
20200608,2020-06-08,2020,Q2,6,June,24,Monday,False,2020,FQ1
20200609,2020-06-09,2020,Q2,6,June,24,Tuesday,False,2020,FQ1
20200610,2020-06-10,2020,Q2,6,June,24,Wednesday,False,2020,FQ1
20200611,2020-06-11,2020,Q2,6,June,24,Thursday,False,2020,FQ1
20200612,2020-06-12,2020,Q2,6,June,24,Friday,False,2020,FQ1
20200613,2020-06-13,2020,Q2,6,June,24,Saturday,True,2020,FQ1
20200614,2020-06-14,2020,Q2,6,June,24,Sunday,True,2020,FQ1
20200615,2020-06-15,2020,Q2,6,June,25,Monday,False,2020,FQ1
20200616,2020-06-16,2020,Q2,6,June,25,Tuesday,False,2020,FQ1
20200617,2020-06-17,2020,Q2,6,June,25,Wednesday,False,2020,FQ1
20200618,2020-06-18,2020,Q2,6,June,25,Thursday,False,2020,FQ1
20200619,2020-06-19,2020,Q2,6,June,25,Friday,False,2020,FQ1
20200620,2020-06-20,2020,Q2,6,June,25,Saturday,True,2020,FQ1
20200621,2020-06-21,2020,Q2,6,June,25,Sunday,True,2020,FQ1
20200622,2020-06-22,2020,Q2,6,June,26,Monday,False,2020,FQ1
20200623,2020-06-23,2020,Q2,6,June,26,Tuesday,False,2020,FQ1
20200624,2020-06-24,2020,Q2,6,June,26,Wednesday,False,2020,FQ1
20200625,2020-06-25,2020,Q2,6,June,26,Thursday,False,2020,FQ1
20200626,2020-06-26,2020,Q2,6,June,26,Friday,False,2020,FQ1
20200627,2020-06-27,2020,Q2,6,June,26,Saturday,True,2020,FQ1
20200628,2020-06-28,2020,Q2,6,June,26,Sunday,True,2020,FQ1
20200629,2020-06-29,2020,Q2,6,June,27,Monday,False,2020,FQ1
20200630,2020-06-30,2020,Q2,6,June,27,Tuesday,False,2020,FQ1
20200701,2020-07-01,2020,Q3,7,July,27,Wednesday,False,2020,FQ2
20200702,2020-07-02,2020,Q3,7,July,27,Thursday,False,2020,FQ2
20200703,2020-07-03,2020,Q3,7,July,27,Friday,False,2020,FQ2
20200704,2020-07-04,2020,Q3,7,July,27,Saturday,True,2020,FQ2
20200705,2020-07-05,2020,Q3,7,July,27,Sunday,True,2020,FQ2
20200706,2020-07-06,2020,Q3,7,July,28,Monday,False,2020,FQ2
20200707,2020-07-07,2020,Q3,7,July,28,Tuesday,False,2020,FQ2
20200708,2020-07-08,2020,Q3,7,July,28,Wednesday,False,2020,FQ2
20200709,2020-07-09,2020,Q3,7,July,28,Thursday,False,2020,FQ2
20200710,2020-07-10,2020,Q3,7,July,28,Friday,False,2020,FQ2
20200711,2020-07-11,2020,Q3,7,July,28,Saturday,True,2020,FQ2
20200712,2020-07-12,2020,Q3,7,July,28,Sunday,True,2020,FQ2
20200713,2020-07-13,2020,Q3,7,July,29,Monday,False,2020,FQ2
20200714,2020-07-14,2020,Q3,7,July,29,Tuesday,False,2020,FQ2
20200715,2020-07-15,2020,Q3,7,July,29,Wednesday,False,2020,FQ2
20200716,2020-07-16,2020,Q3,7,July,29,Thursday,False,2020,FQ2
20200717,2020-07-17,2020,Q3,7,July,29,Friday,False,2020,FQ2
20200718,2020-07-18,2020,Q3,7,July,29,Saturday,True,2020,FQ2
20200719,2020-07-19,2020,Q3,7,July,29,Sunday,True,2020,FQ2
20200720,2020-07-20,2020,Q3,7,July,30,Monday,False,2020,FQ2
20200721,2020-07-21,2020,Q3,7,July,30,Tuesday,False,2020,FQ2
20200722,2020-07-22,2020,Q3,7,July,30,Wednesday,False,2020,FQ2
20200723,2020-07-23,2020,Q3,7,July,30,Thursday,False,2020,FQ2
20200724,2020-07-24,2020,Q3,7,July,30,Friday,False,2020,FQ2
20200725,2020-07-25,2020,Q3,7,July,30,Saturday,True,2020,FQ2
20200726,2020-07-26,2020,Q3,7,July,30,Sunday,True,2020,FQ2
20200727,2020-07-27,2020,Q3,7,July,31,Monday,False,2020,FQ2
20200728,2020-07-28,2020,Q3,7,July,31,Tuesday,False,2020,FQ2
20200729,2020-07-29,2020,Q3,7,July,31,Wednesday,False,2020,FQ2
20200730,2020-07-30,2020,Q3,7,July,31,Thursday,False,2020,FQ2
20200731,2020-07-31,2020,Q3,7,July,31,Friday,False,2020,FQ2
20200801,2020-08-01,2020,Q3,8,August,31,Saturday,True,2020,FQ2
20200802,2020-08-02,2020,Q3,8,August,31,Sunday,True,2020,FQ2
20200803,2020-08-03,2020,Q3,8,August,32,Monday,False,2020,FQ2
20200804,2020-08-04,2020,Q3,8,August,32,Tuesday,False,2020,FQ2
20200805,2020-08-05,2020,Q3,8,August,32,Wednesday,False,2020,FQ2
20200806,2020-08-06,2020,Q3,8,August,32,Thursday,False,2020,FQ2
20200807,2020-08-07,2020,Q3,8,August,32,Friday,False,2020,FQ2
20200808,2020-08-08,2020,Q3,8,August,32,Saturday,True,2020,FQ2
20200809,2020-08-09,2020,Q3,8,August,32,Sunday,True,2020,FQ2
20200810,2020-08-10,2020,Q3,8,August,33,Monday,False,2020,FQ2
20200811,2020-08-11,2020,Q3,8,August,33,Tuesday,False,2020,FQ2
20200812,2020-08-12,2020,Q3,8,August,33,Wednesday,False,2020,FQ2
20200813,2020-08-13,2020,Q3,8,August,33,Thursday,False,2020,FQ2
20200814,2020-08-14,2020,Q3,8,August,33,Friday,False,2020,FQ2
20200815,2020-08-15,2020,Q3,8,August,33,Saturday,True,2020,FQ2
20200816,2020-08-16,2020,Q3,8,August,33,Sunday,True,2020,FQ2
20200817,2020-08-17,2020,Q3,8,August,34,Monday,False,2020,FQ2
20200818,2020-08-18,2020,Q3,8,August,34,Tuesday,False,2020,FQ2
20200819,2020-08-19,2020,Q3,8,August,34,Wednesday,False,2020,FQ2
20200820,2020-08-20,2020,Q3,8,August,34,Thursday,False,2020,FQ2
20200821,2020-08-21,2020,Q3,8,August,34,Friday,False,2020,FQ2
20200822,2020-08-22,2020,Q3,8,August,34,Saturday,True,2020,FQ2
20200823,2020-08-23,2020,Q3,8,August,34,Sunday,True,2020,FQ2
20200824,2020-08-24,2020,Q3,8,August,35,Monday,False,2020,FQ2
20200825,2020-08-25,2020,Q3,8,August,35,Tuesday,False,2020,FQ2
20200826,2020-08-26,2020,Q3,8,August,35,Wednesday,False,2020,FQ2
20200827,2020-08-27,2020,Q3,8,August,35,Thursday,False,2020,FQ2
20200828,2020-08-28,2020,Q3,8,August,35,Friday,False,2020,FQ2
20200829,2020-08-29,2020,Q3,8,August,35,Saturday,True,2020,FQ2
20200830,2020-08-30,2020,Q3,8,August,35,Sunday,True,2020,FQ2
20200831,2020-08-31,2020,Q3,8,August,36,Monday,False,2020,FQ2
20200901,2020-09-01,2020,Q3,9,September,36,Tuesday,False,2020,FQ2
20200902,2020-09-02,2020,Q3,9,September,36,Wednesday,False,2020,FQ2
20200903,2020-09-03,2020,Q3,9,September,36,Thursday,False,2020,FQ2
20200904,2020-09-04,2020,Q3,9,September,36,Friday,False,2020,FQ2
20200905,2020-09-05,2020,Q3,9,September,36,Saturday,True,2020,FQ2
20200906,2020-09-06,2020,Q3,9,September,36,Sunday,True,2020,FQ2
20200907,2020-09-07,2020,Q3,9,September,37,Monday,False,2020,FQ2
20200908,2020-09-08,2020,Q3,9,September,37,Tuesday,False,2020,FQ2
20200909,2020-09-09,2020,Q3,9,September,37,Wednesday,False,2020,FQ2
20200910,2020-09-10,2020,Q3,9,September,37,Thursday,False,2020,FQ2
20200911,2020-09-11,2020,Q3,9,September,37,Friday,False,2020,FQ2
20200912,2020-09-12,2020,Q3,9,September,37,Saturday,True,2020,FQ2
20200913,2020-09-13,2020,Q3,9,September,37,Sunday,True,2020,FQ2
20200914,2020-09-14,2020,Q3,9,September,38,Monday,False,2020,FQ2
20200915,2020-09-15,2020,Q3,9,September,38,Tuesday,False,2020,FQ2
20200916,2020-09-16,2020,Q3,9,September,38,Wednesday,False,2020,FQ2
20200917,2020-09-17,2020,Q3,9,September,38,Thursday,False,2020,FQ2
20200918,2020-09-18,2020,Q3,9,September,38,Friday,False,2020,FQ2
20200919,2020-09-19,2020,Q3,9,September,38,Saturday,True,2020,FQ2
